dialogue_index,face_index,image_path,frame_path,timestamp_seconds,dialogue_text,speaker,is_llm_confident,scene_number,detection_confidence,face_x,face_y,face_width,face_height,blur_score,series,season,episode,episode_code
9,0,data/GA/S01/E01/dialogue_faces/dialogue_0009_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0009_frame.png,44.693,"Why don't you just come back down here, and we'll pick up where we left off?",Dr. Derek Shepherd,True,2,1.0,1054,225,239,344,17.179497908392225,GA,S01,E01,GAS01E01
10,0,data/GA/S01/E01/dialogue_faces/dialogue_0010_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0010_frame.png,47.1285,"No, seriously. You have to go. I'm late,",Dr. Meredith Grey,True,2,1.0,704,228,203,293,17.806407427920185,GA,S01,E01,GAS01E01
11,0,data/GA/S01/E01/dialogue_faces/dialogue_0011_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0011_frame.png,49.623999999999995,"which isn't what you want to be on  your first day of work, so...",Dr. Meredith Grey,True,2,1.0,871,251,194,274,24.698424523393943,GA,S01,E01,GAS01E01
13,0,data/GA/S01/E01/dialogue_faces/dialogue_0013_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0013_frame.png,54.214,No.,Dr. Meredith Grey,True,2,1.0,897,210,273,382,16.20260669865303,GA,S01,E01,GAS01E01
14,0,data/GA/S01/E01/dialogue_faces/dialogue_0014_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0014_frame.png,56.577,"Yes, kind of.",Dr. Meredith Grey,True,2,1.0,1115,142,306,410,13.333234379223706,GA,S01,E01,GAS01E01
15,0,data/GA/S01/E01/dialogue_faces/dialogue_0015_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0015_frame.png,61.7765,It's nice - a little dusty -,Dr. Derek Shepherd,True,2,1.0,812,147,215,280,12.646789701375086,GA,S01,E01,GAS01E01
16,0,data/GA/S01/E01/dialogue_faces/dialogue_0016_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0016_frame.png,63.73,"odd, but it's nice.",Dr. Derek Shepherd,True,2,1.0,794,203,301,397,17.986073315452444,GA,S01,E01,GAS01E01
20,0,data/GA/S01/E01/dialogue_faces/dialogue_0020_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0020_frame.png,73.3735,For what?,Dr. Meredith Grey,True,2,1.0,940,171,282,407,19.59718819633981,GA,S01,E01,GAS01E01
21,0,data/GA/S01/E01/dialogue_faces/dialogue_0021_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0021_frame.png,74.7,"You said ""was.""",Dr. Derek Shepherd,True,2,1.0,782,142,201,287,12.50615466990491,GA,S01,E01,GAS01E01
22,0,data/GA/S01/E01/dialogue_faces/dialogue_0022_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0022_frame.png,76.6755,"Oh, my mother's not dead. She's -",Dr. Meredith Grey,True,2,1.0,955,175,284,419,18.853333101110895,GA,S01,E01,GAS01E01
23,0,data/GA/S01/E01/dialogue_faces/dialogue_0023_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0023_frame.png,78.9805,You know what? We don't have to do the thing.,Dr. Meredith Grey,False,2,1.0,975,175,292,395,19.789189863830305,GA,S01,E01,GAS01E01
24,0,data/GA/S01/E01/dialogue_faces/dialogue_0024_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0024_frame.png,81.10749999999999,"Oh, we can do anything you want.",Dr. Derek Shepherd,True,2,1.0,819,53,233,323,11.027245070449705,GA,S01,E01,GAS01E01
25,0,data/GA/S01/E01/dialogue_faces/dialogue_0025_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0025_frame.png,83.9445,"No, the thing - exchange the details, pretend we care.",Dr. Meredith Grey,True,2,1.0,896,165,281,399,19.82180626934333,GA,S01,E01,GAS01E01
26,0,data/GA/S01/E01/dialogue_faces/dialogue_0026_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0026_frame.png,86.714,"I'm gonna go upstairs and take a shower, okay?",Dr. Meredith Grey,True,2,1.0,849,144,221,305,15.441467438995263,GA,S01,E01,GAS01E01
27,0,data/GA/S01/E01/dialogue_faces/dialogue_0027_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0027_frame.png,89.78200000000001,"And when I get back down here, you won't be here, so, um...",Dr. Meredith Grey,True,2,1.0,786,139,292,403,21.31191986248501,GA,S01,E01,GAS01E01
28,0,data/GA/S01/E01/dialogue_faces/dialogue_0028_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0028_frame.png,93.8045,"goodbye, um...",Dr. Meredith Grey,True,2,1.0,826,164,292,410,21.16443049239027,GA,S01,E01,GAS01E01
29,0,data/GA/S01/E01/dialogue_faces/dialogue_0029_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0029_frame.png,98.27000000000001,Derek.,Dr. Derek Shepherd,True,2,1.0,845,176,217,307,13.744769425487812,GA,S01,E01,GAS01E01
30,0,data/GA/S01/E01/dialogue_faces/dialogue_0030_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0030_frame.png,99.857,Derek. Right. Meredith.,Dr. Meredith Grey,True,2,1.0,981,213,282,390,21.758665913739446,GA,S01,E01,GAS01E01
31,0,data/GA/S01/E01/dialogue_faces/dialogue_0031_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0031_frame.png,101.283,Meredith.,Dr. Derek Shepherd,True,2,1.0,905,204,282,394,22.10175896549185,GA,S01,E01,GAS01E01
35,0,data/GA/S01/E01/dialogue_faces/dialogue_0035_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0035_frame.png,129.164,wanting in on the game.,Dr. Richard Webber,False,3,1.0,161,0,303,270,10.507196952239106,GA,S01,E01,GAS01E01
39,0,data/GA/S01/E01/dialogue_faces/dialogue_0039_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0039_frame.png,141.94,The 7 years you spend here as a surgical resident,Dr. Richard Webber,False,3,1.0,960,162,289,420,13.551476292053472,GA,S01,E01,GAS01E01
40,0,data/GA/S01/E01/dialogue_faces/dialogue_0040_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0040_frame.png,144.1485,will be the best and worst of your life.,Dr. Richard Webber,False,3,1.0,1003,169,300,435,12.14159593677939,GA,S01,E01,GAS01E01
43,0,data/GA/S01/E01/dialogue_faces/dialogue_0043_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0043_frame.png,150.1615,Say hello to your competition.,Dr. Richard Webber,False,3,1.0,876,0,484,760,7.001386250254741,GA,S01,E01,GAS01E01
44,0,data/GA/S01/E01/dialogue_faces/dialogue_0044_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0044_frame.png,153.1735,Eight of you will switch to an easier specialty.,Dr. Richard Webber,False,3,1.0,744,211,432,621,10.526373320904783,GA,S01,E01,GAS01E01
46,0,data/GA/S01/E01/dialogue_faces/dialogue_0046_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0046_frame.png,157.341,Two of you will be asked to leave.,Dr. Richard Webber,False,3,1.0,806,171,228,306,14.483911489821965,GA,S01,E01,GAS01E01
46,1,data/GA/S01/E01/dialogue_faces/dialogue_0046_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0046_frame.png,157.341,Two of you will be asked to leave.,Dr. Richard Webber,False,3,1.0,107,235,314,385,12.21536062435283,GA,S01,E01,GAS01E01
47,0,data/GA/S01/E01/dialogue_faces/dialogue_0047_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0047_frame.png,159.488,This is your starting line.,Dr. Richard Webber,False,3,1.0,581,93,467,704,7.872911763853064,GA,S01,E01,GAS01E01
49,0,data/GA/S01/E01/dialogue_faces/dialogue_0049_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0049_frame.png,163.425,How well you play...,Dr. Richard Webber,False,3,1.0,638,29,577,781,8.113486373192924,GA,S01,E01,GAS01E01
50,0,data/GA/S01/E01/dialogue_faces/dialogue_0050_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0050_frame.png,166.528,that's up to you.,Dr. Richard Webber,False,3,1.0,754,0,580,787,7.345173695312738,GA,S01,E01,GAS01E01
51,0,data/GA/S01/E01/dialogue_faces/dialogue_0051_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0051_frame.png,169.085,Like I said...,Dr. Meredith Grey,False,3,1.0,483,74,454,594,10.536346653360798,GA,S01,E01,GAS01E01
52,0,data/GA/S01/E01/dialogue_faces/dialogue_0052_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0052_frame.png,171.583,I'm screwed.,Dr. Meredith Grey,False,3,1.0,716,76,492,658,9.629792137507465,GA,S01,E01,GAS01E01
54,0,data/GA/S01/E01/dialogue_faces/dialogue_0054_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0054_frame.png,192.3055,Only 6 women out of 20.,Dr. Cristina Yang,False,4,1.0,706,149,396,582,10.677541823017869,GA,S01,E01,GAS01E01
55,0,data/GA/S01/E01/dialogue_faces/dialogue_0055_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0055_frame.png,194.336,Yeah. I hear one of them's a model.,Dr. George O'Malley,False,4,1.0,976,141,297,452,11.303201485707438,GA,S01,E01,GAS01E01
56,0,data/GA/S01/E01/dialogue_faces/dialogue_0056_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0056_frame.png,197.0645,"Seriously, that's gonna help  with the respect thing?",Dr. Cristina Yang,False,4,1.0,738,165,334,493,11.755205399098145,GA,S01,E01,GAS01E01
57,0,data/GA/S01/E01/dialogue_faces/dialogue_0057_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0057_frame.png,200.42700000000002,"- You're Cristina, right? - Patton, Monroe...",Dr. George O'Malley,False,4,1.0,837,87,258,408,12.136202012602999,GA,S01,E01,GAS01E01
58,0,data/GA/S01/E01/dialogue_faces/dialogue_0058_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0058_frame.png,204.22199999999998,Which resident are you assigned to?  I got bailey.,Dr. Cristina Yang,False,4,1.0,988,0,335,493,11.869584942757706,GA,S01,E01,GAS01E01
60,0,data/GA/S01/E01/dialogue_faces/dialogue_0060_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0060_frame.png,207.873,You got the Nazi? So did I.,Dr. Isobel Stevens,False,4,1.0,736,107,188,258,13.592994745009635,GA,S01,E01,GAS01E01
61,0,data/GA/S01/E01/dialogue_faces/dialogue_0061_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0061_frame.png,209.81150000000002,"At least we'll be tortured together, right?",Dr. George O'Malley,False,4,1.0,407,97,176,239,16.341928486133273,GA,S01,E01,GAS01E01
64,0,data/GA/S01/E01/dialogue_faces/dialogue_0064_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0064_frame.png,219.1345,"with a slit up the side, strappy sandals...",Dr. George O'Malley,True,4,1.0,949,224,224,279,13.727503726197384,GA,S01,E01,GAS01E01
